,Close,compound,negative,neutral,positive,Open,High,Low,Volume
2010-01-04,18.030001,-0.9983,0.119,0.792,0.088,17.57,18.09,17.49,2141700.0
2010-01-05,17.85,-0.9986,0.115,0.813,0.072,17.780001,17.9,17.620001,2022500.0
2010-01-06,17.99,-0.9995,0.146,0.772,0.082,17.9,18.01,17.77,2057800.0
2010-01-07,17.57,-0.9996,0.147,0.775,0.078,17.389999,17.629999,17.34,2706800.0
2010-01-08,17.4,-0.9997,0.148,0.764,0.088,17.559999,17.559999,17.370001,1967200.0
2010-01-11,17.370001,-0.9988,0.122,0.803,0.075,17.75,17.75,17.280001,988800.0
2010-01-12,16.98,-0.9974,0.129,0.765,0.106,17.15,17.309999,16.889999,1076700.0
2010-01-13,17.4,-0.9993,0.142,0.768,0.09,17.18,17.440001,17.120001,957400.0
2010-01-14,17.530001,-0.9954,0.13,0.754,0.117,17.469999,17.6,17.219999,1426000.0
2010-01-15,17.34,-0.9981,0.104,0.835,0.061,17.57,17.73,17.1,1293000.0
2010-01-19,17.4,-0.9756,0.093,0.827,0.08,17.540001,17.799999,17.34,1764500.0
2010-01-20,17.049999,-0.9987,0.13,0.783,0.086,17.440001,17.440001,16.9,2476300.0
2010-01-21,16.58,-0.9903,0.112,0.788,0.1,16.91,17.02,16.299999,1466100.0
2010-01-22,16.280001,-0.9989,0.133,0.777,0.09,16.549999,16.700001,16.25,1081400.0
2010-01-25,16.4,-0.9981,0.116,0.8,0.084,16.450001,16.469999,16.280001,1040900.0
2010-01-26,16.16,0.9189,0.111,0.768,0.121,16.280001,16.35,16.1,1250100.0
2010-01-27,15.28,-0.9978,0.131,0.766,0.102,15.45,15.45,14.63,2864900.0
2010-01-28,15.05,-0.9945,0.118,0.783,0.099,15.35,15.45,14.97,1517400.0
2010-01-29,14.63,-0.9994,0.124,0.794,0.082,15.13,15.26,14.55,1621400.0
2010-02-01,15.65,-0.9594,0.082,0.843,0.075,15.2,15.91,15.2,1511400.0
2010-02-02,15.61,-0.9905,0.109,0.791,0.1,15.46,15.72,15.36,1200200.0
2010-02-03,15.74,-0.9992,0.135,0.777,0.088,15.7,15.99,15.64,1264900.0
2010-02-04,14.41,-0.9985,0.125,0.782,0.093,15.0,15.0,14.21,2410800.0
2010-02-05,14.28,-0.999,0.124,0.793,0.083,14.27,14.49,13.85,1570100.0
2010-02-08,14.47,-0.9994,0.151,0.75,0.099,14.31,14.6,14.15,858800.0
2010-02-09,14.81,-0.9997,0.157,0.775,0.068,14.58,14.81,14.48,891500.0
2010-02-10,14.65,-0.9983,0.108,0.821,0.072,14.57,14.74,14.31,978700.0
2010-02-11,15.1,-0.998,0.139,0.753,0.108,14.94,15.13,14.8,708400.0
2010-02-12,15.17,-0.9918,0.092,0.839,0.069,14.81,15.28,14.81,1056200.0
2010-02-16,15.54,-0.9994,0.143,0.768,0.089,15.52,15.6,15.45,765000.0
2010-02-17,15.92,-0.9997,0.159,0.758,0.084,15.74,15.92,15.45,1369600.0
2010-02-18,15.66,-0.9967,0.106,0.805,0.089,15.75,15.8,15.48,1160500.0
2010-02-19,15.36,-0.9945,0.124,0.764,0.111,15.42,15.54,15.32,846500.0
2010-02-22,15.56,-0.9997,0.179,0.728,0.094,15.42,15.74,15.42,1407800.0
2010-02-23,15.15,-0.999,0.129,0.784,0.087,15.29,15.55,15.1,1934300.0
2010-02-24,15.2,-0.998,0.136,0.755,0.109,15.04,15.33,14.95,1182000.0
2010-02-25,14.85,0.9914,0.122,0.738,0.14,14.71,14.89,14.5,1169100.0
2010-02-26,16.18,0.9332,0.092,0.81,0.098,15.65,16.290001,15.5,1824000.0
2010-03-01,16.700001,-0.9899,0.101,0.821,0.077,16.200001,16.700001,16.200001,2057300.0
2010-03-02,17.5,-0.9992,0.181,0.709,0.109,17.33,17.75,17.190001,2853700.0
2010-03-03,17.639999,-0.9995,0.143,0.773,0.084,17.379999,17.639999,17.26,3368000.0
2010-03-04,17.780001,-0.9988,0.121,0.805,0.074,17.620001,17.860001,17.549999,2009000.0
2010-03-05,18.559999,0.7679,0.078,0.847,0.074,17.91,18.65,17.610001,3037200.0
2010-03-08,18.0,-0.9975,0.135,0.762,0.103,17.549999,18.030001,17.32,4924200.0
2010-03-09,18.459999,0.9855,0.07,0.849,0.081,17.610001,18.639999,17.6,2646400.0
2010-03-10,18.59,-0.9995,0.154,0.757,0.089,18.41,18.790001,18.379999,2400000.0
2010-03-11,18.24,-0.9885,0.121,0.765,0.114,18.41,18.41,17.99,1891300.0
2010-03-12,18.18,-0.9986,0.12,0.798,0.083,18.290001,18.32,18.15,878700.0
2010-03-15,18.16,-0.9995,0.142,0.778,0.08,18.219999,18.41,18.0,916800.0
2010-03-16,18.5,-0.9995,0.155,0.751,0.094,18.209999,18.59,18.18,756000.0
2010-03-17,18.77,-0.9973,0.108,0.814,0.078,18.629999,18.780001,18.5,1073900.0
2010-03-18,18.26,-0.9997,0.173,0.723,0.104,18.379999,18.790001,18.24,600600.0
